time, x
1.940000, 8.899350
1.950000, 8.896331
1.960000, 8.893329
1.970000, 8.890343
1.980000, 8.887374
1.990000, 8.884420
2.000000, 8.881483
2.010000, 8.878563
2.020000, 8.875658
2.030000, 8.872768
2.040000, 8.869895
2.050000, 8.867037
2.060000, 8.864195
2.070000, 8.861368
2.080000, 8.858557
2.090000, 8.855761
2.100000, 8.852980
2.110000, 8.850214
2.120000, 8.847463
2.130000, 8.844727
2.140000, 8.842006
2.150000, 8.839300
2.160000, 8.836608
2.170000, 8.833931
2.180000, 8.831268
2.190000, 8.828619
2.200000, 8.825985
2.210000, 8.823365
2.220000, 8.820759
2.230000, 8.818168
2.240000, 8.815590
2.250000, 8.813026
2.260000, 8.810475
2.270000, 8.807939
2.280000, 8.805416
2.290000, 8.802906
2.300000, 8.800410
2.310000, 8.797927
2.320000, 8.795458
2.330000, 8.793002
2.340000, 8.790559
2.350000, 8.788129
2.360000, 8.785711
2.370000, 8.783307
2.380000, 8.780916
2.390000, 8.778537
2.400000, 8.776171
2.410000, 8.773818
2.420000, 8.771477
2.430000, 8.769148
2.440000, 8.766832
2.450000, 8.764528
2.460000, 8.762236
2.470000, 8.759957
2.480000, 8.757689
2.490000, 8.755434
2.500000, 8.753190
2.510000, 8.750959
2.520000, 8.748739
2.530000, 8.746531
2.540000, 8.744334
2.550000, 8.742149
2.560000, 8.739976
2.570000, 8.737814
2.580000, 8.735663
2.590000, 8.733524
2.600000, 8.731396
2.610000, 8.729279
2.620000, 8.727173
2.630000, 8.725079
2.640000, 8.722995
2.650000, 8.720922
2.660000, 8.718860
2.670000, 8.716809
2.680000, 8.714769
2.690000, 8.712739
2.700000, 8.710720
2.710000, 8.708712
2.720000, 8.706714
2.730000, 8.704726
2.740000, 8.702749
2.750000, 8.700782
2.760000, 8.698825
2.770000, 8.696879
2.780000, 8.694942
2.790000, 8.693016
2.800000, 8.691100
2.810000, 8.689193
2.820000, 8.687297
2.830000, 8.685410
2.840000, 8.683534
2.850000, 8.681667
2.860000, 8.679809
2.870000, 8.677962
2.880000, 8.676124
2.890000, 8.674295
2.900000, 8.672476
2.910000, 8.670666
2.920000, 8.668866
2.930000, 8.667075
2.940000, 8.665293
2.950000, 8.663520
2.960000, 8.661757
2.970000, 8.660002
2.980000, 8.658257
2.990000, 8.656521
3.000000, 8.654793
3.010000, 8.653075
3.020000, 8.651365
3.030000, 8.649664
3.040000, 8.647972
3.050000, 8.646289
3.060000, 8.644614
3.070000, 8.642948
3.080000, 8.641290
3.090000, 8.639641
3.100000, 8.638000
3.110000, 8.636368
3.120000, 8.634744
3.130000, 8.633128
3.140000, 8.631521
3.150000, 8.629922
3.160000, 8.628331
3.170000, 8.626748
3.180000, 8.625173
3.190000, 8.623607
3.200000, 8.622048
3.210000, 8.620497
